epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3222.59,1.21789,0.84113,1.4234,0.90677,0.85917,0.91465,0.54488,1.46763,0.77508,1.67076,0.00039125,0.00039125,0.00039125
67,3271.42,1.21332,0.84337,1.41342,0.91028,0.8775,0.92859,0.54479,1.4817,0.76755,1.66843,0.0003665,0.0003665,0.0003665
68,3320.45,1.20164,0.84545,1.4081,0.91607,0.88221,0.92754,0.55405,1.46882,0.75709,1.66167,0.00034175,0.00034175,0.00034175
69,3369.3,1.21435,0.84298,1.42752,0.91733,0.86219,0.92137,0.54863,1.46954,0.75851,1.67133,0.000317,0.000317,0.000317
70,3418.07,1.19482,0.82115,1.39034,0.90091,0.88221,0.92649,0.54893,1.47924,0.74669,1.65987,0.00029225,0.00029225,0.00029225
71,3492.72,1.17696,0.64514,1.42235,0.92138,0.8563,0.91933,0.54784,1.47536,0.73573,1.67073,0.0002675,0.0002675,0.0002675
72,3541.5,1.14871,0.61295,1.4078,0.9144,0.86813,0.92491,0.55403,1.46172,0.72528,1.66025,0.00024275,0.00024275,0.00024275
73,3590.12,1.12979,0.60568,1.38945,0.92837,0.87397,0.93082,0.55759,1.45995,0.7225,1.65855,0.000218,0.000218,0.000218
74,3639.85,1.12377,0.59316,1.37944,0.92212,0.87515,0.92808,0.5577,1.4523,0.71965,1.64851,0.00019325,0.00019325,0.00019325
75,3688.04,1.10467,0.58556,1.36807,0.92652,0.86572,0.92435,0.555,1.46015,0.71517,1.6666,0.0001685,0.0001685,0.0001685
76,3736.06,1.10153,0.57934,1.3704,0.92785,0.86808,0.92873,0.55723,1.46521,0.71185,1.67436,0.00014375,0.00014375,0.00014375
77,3784.11,1.09006,0.57306,1.35832,0.93,0.87161,0.92918,0.55409,1.47043,0.70601,1.67582,0.000119,0.000119,0.000119
78,3832.16,1.07889,0.55515,1.34862,0.91833,0.87416,0.93101,0.55945,1.4579,0.71093,1.66626,9.425e-05,9.425e-05,9.425e-05
79,3880.26,1.06794,0.55125,1.34611,0.92804,0.86584,0.93125,0.56061,1.45996,0.70753,1.66497,6.95e-05,6.95e-05,6.95e-05
80,3928.28,1.05974,0.55137,1.34143,0.92789,0.86393,0.92892,0.55889,1.45513,0.7047,1.66898,4.475e-05,4.475e-05,4.475e-05
